,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
71,70,Mississippi St.,SEC,14-13,+13.31,107.2,93.9,65.9,-.072,106.6,96.4,1280.0
72,71,Buffalo,MAC,14-7,+13.30,108.3,95.0,74.5,-.109,104.8,103.2,1138.0
73,72,Wichita St.,Amer,15-4,+13.19,111.8,98.6,68.0,+.142,105.6,96.3,1455.0
74,73,Providence,BE,13-12,+13.13,108.7,95.5,66.4,+.012,109.9,96.2,1344.0
75,74,Marquette,BE,13-13,+12.75,109.5,96.7,67.8,-.008,109.5,96.0,1266.0
76,75,Utah,P12,11-12,+12.56,110.3,97.8,67.6,-.084,107.7,97.5,1428.0
77,76,UC Santa Barbara,BW,19-4,+12.46,108.4,95.9,65.8,+.053,101.9,102.7,1364.0
78,77,Stanford,P12,14-12,+12.35,105.3,93.0,69.6,+.023,108.9,96.9,1390.0
79,78,Saint Mary's,WCC,14-9,+12.26,101.6,89.4,63.2,+.059,107.8,98.7,1388.0
80,79,Dayton,A10,14-9,+11.80,109.2,97.4,66.3,+.006,104.9,97.2,1173.0
81,80,North Texas,CUSA,13-9,+11.72,105.8,94.1,64.0,-.088,104.2,100.1,1317.0
84,81,Louisiana Tech,CUSA,20-6,+11.68,104.5,92.8,69.5,+.027,101.8,102.2,1256.0
85,82,Pittsburgh,ACC,10-11,+10.84,108.9,98.0,68.6,-.055,108.4,98.0,1338.0
86,83,Marshall,CUSA,15-6,+10.80,110.7,99.9,73.2,-.053,102.3,101.6,1267.0
87,84,Missouri St.,MVC,17-7,+10.39,108.2,97.8,69.5,+.039,103.8,100.7,1283.0
88,85,Georgetown,BE,9-12,+10.13,107.3,97.2,70.2,-.004,109.7,96.5,1207.0
89,86,Winthrop,BSth,23-1,+9.89,105.8,95.9,73.8,+.032,98.8,105.7,1457.0
90,87,Furman,SC,16-9,+9.84,110.4,100.6,68.0,-.086,104.1,102.2,1202.0
91,88,Georgia,SEC,14-11,+9.74,108.7,98.9,73.7,+.066,107.4,96.0,1208.0
92,89,Colgate,Pat,12-1,+9.73,109.5,99.8,72.9,+.060,99.6,106.5,1159.0
93,90,Kent St.,MAC,15-7,+9.63,107.5,97.9,70.1,+.004,106.3,102.9,1245.0
94,91,Liberty,ASun,23-5,+9.59,110.9,101.3,63.2,-.013,98.6,105.5,1251.0
95,92,Nebraska,B10,7-19,+9.58,102.9,93.3,72.3,-.121,112.6,94.2,1304.0
96,93,Abilene Christian,Slnd,21-4,+9.34,102.3,93.0,70.1,-.024,97.8,106.5,1101.0
97,94,Nevada,MWC,15-9,+9.30,108.5,99.2,69.9,-.010,103.7,99.6,1305.0
98,95,Vanderbilt,SEC,8-15,+9.26,109.5,100.2,69.1,-.135,107.8,95.4,1435.0
99,96,UAB,CUSA,21-6,+9.16,103.8,94.6,67.7,+.021,99.3,102.4,1412.0
100,97,Western Kentucky,CUSA,18-6,+8.98,106.5,97.5,68.3,+.100,102.7,100.8,1443.0
101,98,UNC Greensboro,SC,21-8,+8.98,104.7,95.8,68.6,+.005,103.2,103.1,1422.0
102,99,UCF,Amer,10-11,+8.86,106.9,98.1,67.4,+.062,106.9,95.2,1416.0
103,100,Belmont,OVC,26-4,+8.73,110.2,101.5,71.2,+.050,98.6,105.1,1125.0
104,101,Rhode Island,A10,10-15,+8.72,105.5,96.8,69.3,-.109,106.5,97.5,1348.0
